timestamps,open,high,low,close,volume,amount
2019-01-01,226.1593,232.5045,224.2844,230.1742,2765393,636522051.55
2019-01-02,229.8303,232.6326,221.3612,224.1844,2821068,632439445.75
2019-01-03,223.6214,226.6008,218.0946,221.1303,3701532,818520844.9
2019-01-04,220.6876,222.508,214.8561,216.3814,2912829,630282030.69
2019-01-07,216.1662,223.8817,213.8235,221.5774,2731606,605262117.49
2019-01-08,221.4974,223.7349,212.6089,215.0469,2578745,554551077.52
2019-01-09,213.6436,219.1305,210.5858,216.3445,2698742,583857949.13
2019-01-10,216.7881,227.1525,212.5658,222.4578,3139573,698422649.6
2019-01-11,222.9678,224.3604,221.2179,222.3713,3292146,732078844.28
2019-01-14,222.8546,229.2117,220.9231,226.7856,3234859,733619419.93
2019-01-15,226.2145,231.4936,222.494,227.7952,3154548,718590745.02
2019-01-16,226.2487,227.3643,213.8138,214.8536,2953412,634551343.69
2019-01-17,215.5708,218.2431,213.5136,216.3343,3119808,674921517.63
2019-01-18,216.5115,222.6585,214.5453,220.1966,2743434,604094783.29
2019-01-21,220.948,222.7088,215.8437,217.2662,2804456,609313428.69
2019-01-22,217.8679,223.5592,215.0509,220.2619,2829963,623333072.31
2019-01-23,220.7478,223.2135,212.4122,214.3008,2975530,637658454.27
2019-01-24,214.0711,216.2554,207.9039,210.1215,2190628,460298113.81
2019-01-25,209.4696,211.9672,206.4672,208.669,2187557,456475410.7
2019-01-28,208.6608,211.0948,200.6755,203.1749,2807287,570370193.17
2019-01-29,204.0358,206.7232,199.3228,202.3479,2105202,425983102.44
2019-01-30,201.6779,205.2884,199.6717,203.3615,3240009,658893077.22
2019-01-31,202.9693,206.0993,197.9167,201.3887,3505714,706011092.21
2019-02-01,201.1662,203.7506,196.1698,199.0061,3221094,641017296.9
2019-02-04,199.9607,204.7899,195.2919,200.184,2182691,436939738.9
2019-02-05,199.6554,208.2408,196.6413,204.9685,3374622,691691295.16
2019-02-06,205.0229,207.1667,201.6323,203.4927,3164294,643910785.48
2019-02-07,204.1562,207.2682,201.5342,204.3102,3013811,615752464.05
2019-02-08,204.3152,210.6273,203.2548,209.589,2930236,614145282.48
2019-02-11,209.0536,215.679,207.7187,213.9391,3131991,670055271.37
2019-02-12,213.8338,218.1136,211.0271,215.2731,3224248,694093880.14
2019-02-13,215.6273,217.993,211.2075,213.7255,3061603,654342523.79
2019-02-14,213.4296,216.3683,206.9801,209.453,2539396,531884166.98
2019-02-15,209.6441,211.3696,204.9035,206.482,2678509,553064008.42
2019-02-18,206.596,208.2553,200.8979,202.179,2311593,467355490.21
2019-02-19,201.2666,206.4065,198.3009,202.6536,3001237,608211512.77
2019-02-20,202.5718,210.5887,199.8328,207.3845,3425338,710362091.55
2019-02-21,206.8398,212.2298,203.4744,208.7825,3210411,670277784.5
2019-02-22,208.0651,211.4186,204.8784,207.5795,2700756,560621457.44
2019-02-25,207.8155,211.0918,205.0819,207.7815,3182719,661310195.58
2019-02-26,207.6369,211.3614,201.4037,204.8553,3502368,717478765.22
2019-02-27,204.7878,207.9032,198.1739,201.6954,3932995,793266870.77
2019-02-28,202.1063,204.7066,199.7148,202.109,3845263,777162281.95
2019-03-01,203.2248,209.6332,201.0715,206.8399,3581476,740792068.85
2019-03-04,206.1264,206.9954,199.3213,199.9753,3638249,727560092.88
2019-03-05,199.7013,201.8771,196.4049,198.8141,2976255,591721353.48
2019-03-06,198.8468,202.9967,195.8088,199.5004,1902912,379631695.63
2019-03-07,199.5308,201.7492,193.942,195.9862,2985735,585162862.05
2019-03-08,196.3295,202.3136,193.5399,199.189,3237713,644916695.84
2019-03-11,199.5208,203.0885,189.4883,193.3564,2818382,544952177.99
2019-03-12,193.2231,196.0111,189.185,191.7657,3286883,630311474.26
2019-03-13,191.5797,194.2703,189.5057,191.6102,3894203,746168964.91
2019-03-14,190.731,199.7665,186.8522,196.2795,3228479,633684307.03
2019-03-15,196.8177,203.6967,193.3368,200.3782,3220186,645255101.5
2019-03-18,199.807,201.3299,192.4018,193.9113,3060772,593518150.5
2019-03-19,193.765,195.8591,190.715,192.6619,3173535,611419126.95
2019-03-20,192.4918,195.6619,186.5543,189.0628,3365449,636281258.08
2019-03-21,187.9949,189.965,185.3346,187.4456,3667269,687413408.64
2019-03-22,187.2476,190.067,184.9399,187.5218,3408992,639260264.15
2019-03-25,187.8948,191.3468,186.4333,189.9498,2790501,530055246.12
2019-03-26,189.6414,192.4243,180.8981,183.046,2453394,449083979.06
2019-03-27,182.7894,184.3342,180.8056,182.0715,3040831,553648714.89
2019-03-28,183.1307,184.6164,180.9569,182.5629,1786114,326078153.36
2019-03-29,183.2984,193.103,181.2913,191.1966,4026851,769920381.33
2019-04-01,191.286,193.9436,186.6028,189.1378,3185052,602413801.49
2019-04-02,188.5652,193.7931,186.3676,191.5669,3937308,754258049.88
2019-04-03,191.4526,192.7383,189.2424,190.6716,2872408,547686647.12
2019-04-04,191.2002,191.2617,186.9802,187.0326,3605470,674340460.11
2019-04-05,188.1511,193.5737,186.7585,191.9689,2821567,541653131.94
2019-04-08,192.9479,198.7882,189.705,195.839,3606938,706379023.04
2019-04-09,195.3921,197.2399,190.7868,192.2642,2637276,507053695.62
2019-04-10,191.9582,194.136,191.4975,193.7244,3004550,582054632.13
2019-04-11,193.836,195.6553,190.895,192.2875,2972363,571548127.07
2019-04-12,192.2589,197.127,190.6881,195.7053,3457791,676707911.19
2019-04-15,195.2136,201.3473,192.109,198.3894,3195049,633863830.53
2019-04-16,198.8011,200.4595,196.3198,197.9952,3477331,688494898.22
2019-04-17,198.315,200.4438,188.8334,190.5529,2358234,449368317.16
2019-04-18,190.6055,192.9297,186.0991,188.3473,2749081,517782094.82
2019-04-19,188.4134,191.1773,178.633,180.7274,3112566,562526074.82
2019-04-22,181.686,184.3963,178.4404,181.083,2549144,461606744.58
2019-04-23,181.8286,184.9657,180.2573,183.077,3271802,598991642.6
2019-04-24,183.5589,190.0822,181.0696,187.0763,2782474,520535065.54
2019-04-25,186.3628,188.5469,184.3917,186.4752,3427526,639148538.94
2019-04-26,185.1147,193.5408,184.0559,192.2835,2595587,499088478.86
2019-04-29,192.8026,201.5991,191.1606,200.0997,3400090,680357140.57
2019-04-30,200.667,203.233,197.6294,200.3382,2642393,529372152.32
2019-05-01,201.6016,204.6592,196.9016,199.5228,3171390,632764507.51
2019-05-02,199.7088,203.0987,197.9307,201.2093,2849624,573370945.81
2019-05-03,201.2091,206.479,199.1727,204.4434,3595343,735044240.44
2019-05-06,205.0838,219.3949,201.396,214.8418,2557660,549492326.16
