timestamps,open,high,low,close,volume,amount
2019-01-01,52.4488,54.262,52.2681,54.0201,26705280,1442622443.23
2019-01-02,54.4104,55.098,53.6333,54.1508,32837755,1778191194.45
2019-01-03,53.9657,54.7867,51.3497,52.0136,24842375,1292142267.41
2019-01-04,51.8957,52.3075,50.6858,51.1262,38710971,1979144593.36
2019-01-07,51.2111,53.0803,50.8504,52.6149,27694761,1457156329.8
2019-01-08,52.7785,53.5986,51.7336,52.4346,27393620,1436373005.52
2019-01-09,52.574,54.9284,51.5724,53.9351,29273261,1578856988.57
2019-01-10,54.0153,54.4798,52.7027,53.1914,19844836,1055575209.4
2019-01-11,53.252,53.8578,51.9833,52.5296,27561608,1447800713.51
2019-01-14,52.699,54.1167,52.3256,53.7553,16032202,861815464.17
2019-01-15,53.9893,54.6691,53.4099,54.1568,34764509,1882734763.03
2019-01-16,54.1091,55.18,52.8912,53.8866,23113968,1245532760.14
2019-01-17,53.8041,54.9423,53.3196,54.4922,42449850,2313187757.22
2019-01-18,54.5164,56.572,54.1984,56.1564,33218376,1865423790.54
2019-01-21,56.157,56.9233,55.3152,56.005,33533162,1878024597.31
2019-01-22,55.8128,56.3146,54.9895,55.5148,28384043,1575734056.77
2019-01-23,55.2454,57.1344,54.7845,56.6522,26129668,1480302224.46
2019-01-24,56.7433,58.6173,56.1656,57.9923,29508325,1711257051.54
2019-01-25,57.9788,60.1161,57.2085,59.4107,35142207,2087822387.85
2019-01-28,59.2091,59.2197,58.4943,58.5058,35056905,2051033377.07
2019-01-29,58.4632,60.504,58.0324,59.9198,31714985,1900356555.92
2019-01-30,59.911,62.5162,59.4752,61.9221,29637465,1835214977.91
2019-01-31,62.1202,63.0351,61.5332,62.3696,25450388,1587330913.73
2019-02-01,62.1295,63.8601,61.4365,63.217,37720822,2384598100.97
2019-02-04,63.2045,63.6865,60.6993,61.114,27939172,1707475544.28
2019-02-05,60.9457,61.969,59.9308,61.0693,35574799,2172529362.4
2019-02-06,61.2584,62.9989,60.7306,62.4223,26202929,1635647623.58
2019-02-07,62.1731,62.7614,61.9262,62.4612,29308297,1830631144.56
2019-02-08,62.1924,65.8543,61.8887,65.4983,37081287,2428761445.87
2019-02-11,65.4133,66.2917,63.2393,64.0551,37809762,2421909440.63
2019-02-12,64.0453,66.2567,63.794,65.9188,30866427,2034679035.4
2019-02-13,65.8236,69.0921,65.0395,68.2085,32739458,2233110262.03
2019-02-14,68.5056,70.1126,68.0372,69.5771,27216975,1893676841.5
2019-02-15,69.7641,71.5164,69.4616,71.1231,32982135,2345791642.8
2019-02-18,71.3654,71.6558,69.6118,69.8446,35682731,2492247036.03
2019-02-19,70.0061,71.3531,69.3824,70.6038,36554569,2580891002.4
2019-02-20,70.6892,71.2442,67.9852,68.5494,44261106,3034072214.6
2019-02-21,68.4165,72.0817,67.3121,70.6834,30125581,2129377589.51
2019-02-22,70.7004,71.5786,70.0872,71.0371,29849025,2120389238.21
2019-02-25,70.9193,73.3656,69.7435,72.1655,32865675,2371766579.73
2019-02-26,72.0995,77.4333,70.9625,76.2955,33772363,2576680678.46
2019-02-27,76.2966,76.6794,74.1201,74.5189,25188332,1877007342.97
2019-02-28,74.3873,75.1339,72.7697,73.5542,36073681,2653370505.97
2019-03-01,73.7112,75.5171,73.2335,74.9301,30572006,2290762741.52
2019-03-04,75.4625,79.9013,74.6303,79.0409,45315234,3581758106.33
2019-03-05,78.907,79.7011,76.6594,77.2603,32042238,2475591890.08
2019-03-06,77.188,77.8895,76.415,77.1972,29056622,2243090631.96
2019-03-07,76.9475,77.7272,75.2488,75.8858,33856333,2569214254.59
2019-03-08,75.8718,77.9417,74.6638,76.7759,40359301,3098621756.69
2019-03-11,76.7458,78.8249,75.8737,78.0366,28260764,2205373283.86
2019-03-12,77.8338,78.9642,74.8494,75.7793,34841383,2640254227.87
2019-03-13,75.7459,78.2692,74.9153,77.2502,39074423,3018505211.15
2019-03-14,77.2099,80.5487,75.6574,78.9246,31890438,2516940622.99
2019-03-15,78.8483,80.6446,78.5197,80.2507,38024590,3051500769.09
2019-03-18,80.0807,80.9502,76.9708,77.6675,27895935,2166608379.23
2019-03-19,77.2784,78.4196,76.1954,77.0806,33471041,2579968574.38
2019-03-20,77.2023,78.1027,75.1619,75.8859,30405460,2307345847.92
2019-03-21,75.6692,77.2618,75.1411,76.6917,25878461,1984663941.23
2019-03-22,76.7616,80.1002,76.0429,79.4055,29086901,2309658684.2
2019-03-25,79.9997,81.4881,78.2808,79.4285,26994285,2144116259.45
2019-03-26,79.5736,80.2525,77.6092,78.1375,36366682,2841601137.19
2019-03-27,78.1928,80.185,76.7916,78.8618,33408642,2634664969.69
2019-03-28,78.6868,80.2287,78.2258,79.8083,31540323,2517179948.09
2019-03-29,80.4993,82.3609,79.3089,80.8553,30577460,2472348190.9
2019-04-01,80.9,81.5847,78.5337,79.2913,32655258,2589276466.19
2019-04-02,78.6038,79.2442,77.8788,78.3734,29594601,2319428965.99
2019-04-03,78.3686,79.5788,75.6241,76.9764,30046389,2312862566.99
2019-04-04,77.1357,77.9142,73.1667,73.8746,34492288,2548103164.53
2019-04-05,73.8729,74.9709,71.2427,72.2416,24939719,1801685277.11
2019-04-08,72.1419,73.2531,71.1252,72.3612,37133182,2687002583.43
2019-04-09,72.4107,73.2712,70.4403,71.2736,32102674,2288073237.58
2019-04-10,71.0973,73.9259,70.5719,73.3779,35633646,2614723488.3
2019-04-11,73.5378,74.2274,72.3142,73.0016,39494845,2883187961.46
2019-04-12,73.1552,77.9631,72.2202,76.7119,31485738,2415330419.55
2019-04-15,76.8021,78.2837,76.2606,77.697,24076168,1870646540.48
2019-04-16,77.1428,78.2545,73.2068,74.2938,29573849,2197155076.66
2019-04-17,74.2436,75.2492,72.4234,73.5443,32965899,2424454345.01
2019-04-18,73.5533,74.618,70.9623,71.8244,33658241,2417483863.53
2019-04-19,71.7974,73.5721,70.8255,72.5495,29460446,2137339754.93
