timestamps,open,high,low,close,volume,amount
2019-01-01,114.7616,118.4737,112.9297,116.8034,2430563,283898029.28
2019-01-02,116.3921,121.6071,114.5789,119.5895,2787217,333321769.03
2019-01-03,119.7062,121.2558,113.9952,115.5117,4023301,464738137.15
2019-01-04,115.6502,116.7938,111.8667,113.1363,4731787,535336732.11
2019-01-07,113.2788,114.7292,112.207,113.7003,3268384,371616213.12
2019-01-08,114.1616,115.5339,110.3465,111.6729,3787635,422976268.78
2019-01-09,111.2132,112.6684,109.5553,110.9136,3218046,356924950.21
2019-01-10,110.9121,112.3378,107.5316,108.9986,3440775,375039525.77
2019-01-11,109.228,110.7587,106.7625,108.437,3741633,405731566.37
2019-01-14,108.2863,112.2333,106.7461,110.5308,3687142,407542881.49
2019-01-15,111.0261,111.8696,111.021,111.8645,3947880,441627770.38
2019-01-16,111.6553,113.0735,110.7739,112.1802,3315134,371892262.09
2019-01-17,111.8663,113.3974,109.2825,110.8504,4651067,515572815.77
2019-01-18,110.5886,112.6778,109.6467,111.4599,4400047,490428582.94
2019-01-21,111.2314,112.959,108.9339,110.3321,2773675,306025296.85
2019-01-22,110.6541,111.8007,108.9617,109.9494,3580547,393678918.47
2019-01-23,109.9158,112.0396,108.4138,110.5486,2865131,316736236.56
2019-01-24,110.4459,111.917,109.5211,110.8576,4193675,464900767.51
2019-01-25,110.3962,112.0379,105.3145,106.7321,2677016,285723407.06
2019-01-28,106.3829,107.9344,104.1325,105.5997,4101416,433108393.1
2019-01-29,105.9216,107.0909,104.4011,105.7432,3232796,341846105.08
2019-01-30,105.4911,109.2123,104.064,107.33,3916327,420339313.63
2019-01-31,106.9547,109.1216,101.9896,104.1274,3650541,380121364.45
2019-02-01,103.8441,105.2911,100.9364,102.1771,4246792,433924905.25
2019-02-04,101.2608,104.1951,100.0067,102.8138,4448118,457327832.04
2019-02-05,102.8173,105.2732,101.0854,103.5561,2732115,282927132.23
